full_date,date,weekday,time,mood,activities,note_title,note
2021-08-14,Aug 14,Saturday,11:13 PM,Solid,work | friends | gaming | tv show | home | texting Sophie | Personal Project | AudioBook | chest / core | gym | prayer | mountain dew | Sleep 10+ Hours | Screen Time 5 Hours,"","Worked on Mock Draft project | Frodo destroyed the ring | Passion Fruit Frenzy Dew | Sophie on a Safari tour | picture exchanges, gillete, mask on face | it was a good night "
2021-08-13,Aug 13,Friday,9:22 PM,Solid,family | tv show | home | texting Sophie | chest / core | prayer | Sleep 7 Hours | Screen Time 5 Hours,"","Danny funeral | powerful stories including Jackson | good time spent with family | learned about hormonal birth control | patience tested again with Dad being cranky and missing exit | took medication early and it made me so tired "
2021-08-12,Aug 12,Thursday,8:00 PM,okay,family | reading | gaming | home | texting Sophie | chest / core | gym | prayer | Sleep 8 hours | Screen Time 6 Hours,"","Wasted trip to Cam because Mom got wrong date | went to breach prayer,lunch,reading,walk | Katie xc practice | pick up Dad from airport | day of patience being tested | texting Sophie going well :) "
2021-08-11,Aug 11,Wednesday,11:02 PM,Solid,work | friends | gaming | tv show | home | texting Sophie | AudioBook | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 5 Hours,"","Officially got the date with Sophie set up :) | tutoring Katie been going well | Apple Bees with some friends | Mountain Dew supposed to be Berry Burst but was voltage "
2021-08-10,Aug 10,Tuesday,10:26 PM,rad,friends | reading | gaming | tv show | home | texting Sophie | chest / core | prayer | Church group | mountain dew | Sleep 8 hours | Screen Time 6 Hours,"","Really tired from medication | coffee bean | told Sophie I liked her and she liked me back 🥳 | she wants to take things slow | celebration told family and friends | chat with Steve Blaha | Mountain Dew Pitch Black"
2021-08-09,Aug 9,Monday,10:13 PM,okay,family | home | texting Sophie | AudioBook | chest / core | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Call with Gabriella about letting go of Sophie | walk to Pleasant Park can’t get emotions out | drove Parents to airport | quick turnaround drove Katie to xc practice | got medication for calf | good time spent with Katie funny video | going to tell Sophie I like her tomorrow "
2021-08-08,Aug 8,Sunday,11:16 PM,Solid,friends | reading | gaming | tv show | home | texting Sophie | Personal Project | church | prayer | mountain dew | Sleep 9 Hours | Screen Time 6 Hours,"","BISHOP BARREN PRESIDED OVER MASS | got his photo , autograph, and prayer for Sophie’s sister | phone call with Sophie | discussion with Gabriella about COSC project | asked Sebastián if he thought I was wasting time waiting for Sophie and he said yes 😳"
2021-08-07,Aug 7,Saturday,11:01 PM,okay,work | family | movie | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 7 Hours,"","Started mock draft project | Sophie sick | Catching Foxes saddest episode about child dying | Huy helped a lot with project | watched 5 feet apart "
2021-08-06,Aug 6,Friday,11:19 PM,okay,work | family | reading | tv show | home | texting Sophie | Personal Project | AudioBook | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 7 Hours,"","A Dayglow concert would be amazing | Sophie’s a no on the concert :/ | put hidden power project on git hub | productive day"
2021-08-05,Aug 5,Thursday,9:54 PM,Solid,family | reading | gaming | tv show | home | texting Sophie | > 15 mins on Instagram  | chest / core | gym | prayer | Sleep 8 hours | Screen Time 7 Hours,"","Calf/shin injury is concerning | tried getting Wallows concert tickets | reading at beach weather so nice | lunch with Mom | In-N-Out with Jude and his Dad | asked Sophie if she wanted to go to 21 Pilots concert "
2021-08-04,Aug 4,Wednesday,10:34 PM,okay,work | family | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","Hard workout | custom alarms (trash Smoky meds) | wasted an hour driving to find Covid test | Cake Smash Mountain Dew | Jude’s Dad came over for dinner | City of Stars song so good"
2021-08-03,Aug 3,Tuesday,11:36 PM,Solid,friends | reading | gaming | tv show | home | texting Sophie | biking | chest / core | prayer | Sleep 10+ Hours | Screen Time 8 Hours,"","11 hours of sleep | Bible study read gospel | call/FaceTime with Sophie about concert, people trying to set up Sophie at her church, math class | biked to park read Lambs Supper | talk with Sebastián about priesthood and other stuff | changed Sophie gift idea to book after Instagram poll | driving Jude to and from work"
2021-08-02,Aug 2,Monday,8:17 PM,okay,movie | tv show | home | texting Sophie | > 15 mins on Instagram  | chest / core | prayer | mountain dew | Sleep 5- Hours | Screen Time 10 Hours,"","Nearly an all nighter maybe 90 minutes of total sleep? | flight from Miami to LA | song : Eloise | so tired being silly and laughing | mission burrito | Major melon | battle to stay awake | fantasy draft with Steve’s league | Negan favorite character in Walking Dead"
2021-08-01,Aug 1,Sunday,8:00 PM,good,friends | texting Sophie | prayer | mountain dew | Sleep 10+ Hours | Screen Time 4 Hours,"","Woke up late | Walmart | Berry slushee and Berry Blitz | Weezer Greenday Fallout boy concert | person in front of me doing sus dancing | laced gummies? | sat down some of time because knees hurt | Jude lost glasses | guy asked me for money so he could buy weed"
2021-07-31,Jul 31,Saturday,11:41 PM,okay,family | friends | texting Sophie | chest / core | church | prayer | mountain dew | Sleep 8 hours | Screen Time 6 Hours,"","Jet lagged | dollar general got sun glasses and Maui | buses for transport | felt completely dead at times | felt ehhh after a couple short texts from Sophie | Miami Beach got good pictures | mall dinner didn’t eat | hotel chicken fingers | Sophie’s got texts got me 🙁 -> 😊 | funny pillow videos "
2021-07-30,Jul 30,Friday,11:25 PM,okay,friends | movie | home | texting Sophie | chest / core | prayer | Sleep 7 Hours | Screen Time 6 Hours,"","Travel to Miami | good seat passengers | dinner with grandma | short responses from Sophie :\"
2021-07-29,Jul 29,Thursday,9:50 PM,okay,tv show | home | texting Sophie | Personal Project | chest / core | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Grinded Hidden Power project for like 9 hours 😵‍💫 | prayer walk with no phone | Sophie made me a playlist for the trip🥺"
2021-07-28,Jul 28,Wednesday,10:56 PM,okay,work | friends | gaming | tv show | home | texting Sophie | chest / core | ultimate frisbee | gym | prayer | Sleep 9 Hours | Screen Time 6 Hours,"","Call with Grandma | Simone Biles is a quitter | phone call with Sebastián about road trips | frisbee playing zone lost game scored a lot | body feeling banged up | the tone in texting Sophie seems to have changed a little in the positive direction?"
2021-07-27,Jul 27,Tuesday,9:13 PM,Solid,friends | gaming | tv show | home | texting Sophie | > 15 mins on Instagram  | chest / core | gym | prayer | Spiritual Direction | Church group | Sleep 8 hours | Screen Time 6 Hours,"","Bible study with Caitlin | Sherry answered Caitlin’s question very well | God helping Caitlin through me | texting Sophie ALL day, probably most texts in one day with her | so many funny texts | Sebastián road trip ideas | listened to Sophie’s new playlists made emotions feel weird | last session with Steve Calme | sluggish mood | new season of walking dead "
2021-07-26,Jul 26,Monday,9:16 PM,Solid,work | gaming | tv show | home | texting Sophie | chest / core | prayer | mountain dew | Sleep 7 Hours | Screen Time 6 Hours,"","Phone call with Sophie while she was driving | she made a long song playlist | FaceTime with Peter, “You’re a catch” | Baja Blast | feel even more comfortable with Sophie "
2021-07-25,Jul 25,Sunday,11:18 PM,good,friends | gaming | tv show | home | texting Sophie | Personal Project | ultimate frisbee | church | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Mass in cafeteria | Caitlin is going to come with me to Bible Study | non-stop grind to come up with Song duration graphic between me and Sophie | going to work on a coding project with Gabriella | op team in frisbee lost | 4v4 game me and Derrick owned I threw in 4/5 | Jude almost lost wallet | texting with Sophie going well :)"
2021-07-24,Jul 24,Saturday,10:49 PM,okay,work | gaming | tv show | home | texting Sophie | chest / core | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","Madden Bengals rebuild | no texts from Sophie until night | walked and prayed at Africa | from prayer realized I need to forgive Kyan and have hope for Sophie | when Sophie did respond it made me go 🥺"
2021-07-23,Jul 23,Friday,9:55 PM,okay,work | friends | gaming | tv show | home | texting Sophie | chest / core | gym | prayer | Sleep 8 hours | Screen Time 5 Hours,"","Good workout at gym | Jude late for work | FaceTime with Gabriella about her code project | texts with Sophie about calling through do not disturb | knees hurt "
2021-07-22,Jul 22,Thursday,10:37 PM,Solid,friends | gaming | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","NFL Standings w/ Cameron | gym with Dad later than usual | Sophie texted and asked to face time, it sent a thrill of joy and excitement but it was just to update me on volunteering, still nice that she wanted call | time went fast at gym | asked Sophie to FaceTime today but she had work but we are on for Monday | Java Swing 8 ball project | fear contemplation realized my biggest fear is Sophie not ever loving me"
2021-07-21,Jul 21,Wednesday,9:46 PM,Solid,work | gaming | home | texting Sophie | chest / core | prayer | Sleep 9 Hours | Screen Time 5 Hours,"","Slept in | wrote scenarios for Sebastián | Ultimate frisbee with new group I’m now 6-0 in July | I love joining new groups and impressing people | In-N-Out"
2021-07-20,Jul 20,Tuesday,10:00 PM,good,family | friends | gaming | home | texting Sophie | Personal Project | chest / core | gym | prayer | Church group | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","Bible study Mike joined group | got gas twice | applied for Data Science internship | Carales with Mom felt tired | Giannis historic performance Bucks win title | streamed finals with Sebastián for a little | Harbour by Clairo | dropping more hints to Sophie that I like her | texting with Sebastián about him becoming a priest"
2021-07-19,Jul 19,Monday,9:47 PM,meh,work | gaming | tv show | home | texting Sophie | AudioBook | chest / core | gym | prayer | Sleep 7 Hours | Screen Time 6 Hours,"","Very tired when waking up and throughout day | Talk with Sebastián on how his relationship started | ideas for coding project but lack of motivation | fantasy football stuff | prayer in Africa | texted Sophie about not getting stuff done | feeling of pessimism towards relationship with Sophie | stay in the present "
2021-07-18,Jul 18,Sunday,10:24 PM,Solid,friends | gaming | tv show | home | texting Sophie | ultimate frisbee | church | prayer | mountain dew | Sleep 8 hours | Screen Time 3 Hours,"","Groudon | getting bored of pixelmon | won both games in frisbee again | Things I’ve been thinking about this week: Sophie, pixelmon, God ,frisbee (no-order)"
2021-07-17,Jul 17,Saturday,11:10 PM,okay,work | family | friends | gaming | home | texting Sophie | > 15 mins on Instagram  | chest / core | gym | prayer | mountain dew | Sleep 7 Hours | Screen Time 3 Hours,"","Gym early | picked up Katie from x-country | seeing Charlie brought back memories of x-country which were painful | Bucks beat Suns game 5 with insane alley-oop "
2021-07-16,Jul 16,Friday,10:51 PM,okay,work | family | friends | gaming | tv show | home | texting Sophie | AudioBook | chest / core | gym | prayer | Partial Dew | Sleep 8 hours | Screen Time 5 Hours,"","Pixelmon Jolteon | target with Mom, Aunt Jen & Mom "
2021-07-15,Jul 15,Thursday,10:57 PM,Solid,family | friends | gaming | home | texting Sophie | chest / core | Other Sports | prayer | Partial Dew | Sleep 8 hours | Screen Time <= 2 hours,"","Texted Sophie a lot first part of day | unlucky with pixelmon then finally got perfect eevee | weed cream | pickle ball with Aunt Jen, Dad & Dad | run around style works"
2021-07-14,Jul 14,Wednesday,11:31 PM,okay,work | friends | gaming | home | texting Sophie | AudioBook | chest / core | gym | prayer | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","Went hard working out | tired at work | breeding in pixelmon & fighting Will/Jude | Baja Blast | texted Sophie about songs in her playlist  "
2021-07-13,Jul 13,Tuesday,11:11 PM,Solid,friends | gaming | tv show | home | texting Sophie | biking | chest / core | gym | prayer | Church group | mountain dew | Sleep 8 hours | Screen Time 4 Hours,"","Bible study group 😀 | pixelmon grind like all day"
2021-07-12,Jul 12,Monday,9:20 PM,Solid,work | friends | gaming | home | texting Sophie | AudioBook | > 15 mins on Instagram  | chest / core | gym | prayer | Partial Dew | Sleep 8 hours | Screen Time <= 2 hours,"","Pixelmon caught op Dratini | complimented at work for being a hard worker | complimented Sophie saying she looked nice for a campus ministry video | read through Sophie’s spam Insta page | laid outside with shirt off | it’s definitely too early but I want to marry Sophie 🤭"
2021-07-11,Jul 11,Sunday,11:24 PM,good,friends | gaming | home | texting Sophie | ultimate frisbee | church | prayer | Sleep 7 Hours | Screen Time <= 2 hours,"","More confident talking to Sophie | Ultimate Frisbee scored 4 points in a game and was wearing track uniform | pixelmon grind"
2021-07-10,Jul 10,Saturday,8:00 PM,Solid,work | family | friends | movie | gaming | home | texting Sophie | AudioBook | > 15 mins on Instagram  | chest / core | prayer | Confession | mountain dew | Sleep 8 hours | Screen Time <= 2 hours,"","Confession | pixelmon grind | catching foxes podcast | Black Widow in theaters with family Jude and Cameron | Sophie told everyone about me not cracking an egg | Talk about Sophie with Raina | need to show I like Sophie I like her more"
2021-07-09,Jul 9,Friday,11:17 PM,good,work | family | friends | gaming | tv show | home | texting Sophie | AudioBook | chest / core | church | prayer | Partial Dew | Sleep 8 hours | Screen Time 4 Hours,"","FaceTime with Sophie, cooking S’mores Oates 😊 | Pixelmon Server | Got Mexican food with Mom "
2021-07-08,Jul 8,Thursday,9:57 PM,meh,friends | gaming | home | texting Sophie | chest / core | run | gym | prayer | Partial Dew | Sleep 9 Hours | Screen Time 3 Hours,"","Exhausted after gym didn’t go on bike ride with Dad | played video games most day rebuilds on 2k w/ Cameron | watched NBA finals | brief walk after sun set | I really wish I could run | rosary prayer | schedule not working with Sophie | another reminder she has no feelings towards me | this week sucks I just want to go back to Marquette"
2021-07-07,Jul 7,Wednesday,9:20 PM,okay,work | family | tv show | home | texting Sophie | AudioBook | > 15 mins on Instagram  | chest / core | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Learned how to tie a tie with Dad | energetic at work went ham with the vacuuming | super tired rest of day | questioning my current path with Sophie"
2021-07-06,Jul 6,Tuesday,11:13 PM,Solid,gaming | home | texting Sophie | Personal Project | AudioBook | biking | chest / core | gym | prayer | Church group | mountain dew | double dew | Sleep 7 Hours | Screen Time 3 Hours,"","Dream with Sophie in it | Bible study with old ladies went amazing | got lucky and sounded really smart | McDonalds for breakfast | made README’s for coding projects | Baja Flash and OG | game 1 NBA finals Giannis back | late night short bike ride | spent 90 minutes learning to do a kip-up"
2021-07-05,Jul 5,Monday,10:34 PM,okay,work | friends | gaming | tv show | # | home | texting Sophie | Personal Project | AudioBook | chest / core | gym | prayer | Sleep 8 hours | Screen Time 3 Hours,"","Playing 2k, not finding airpods, and dropping off Jude made me a couple mins late to work got super pissed about airpods | no airpods was actually enjoyable at work | want a promotion | #8 … not strong willed enough | Sophie can’t FaceTime tomorrow "
2021-07-04,Jul 4,Sunday,11:14 PM,Solid,family | friends | gaming | tv show | home | texting Sophie | ultimate frisbee | church | prayer | mountain dew | Sleep 8 hours | Screen Time 4 Hours,"","Cameron malding | Mexican Bakery pink balls | frisbee with Jude,Katie, and Dad, fireworks with Dad | I feel stuck and broken "
2021-07-03,Jul 3,Saturday,11:10 PM,okay,work | family | friends | gaming | tv show | home | texting Sophie | Personal Project | AudioBook | biking | chest / core | gym | prayer | mountain dew | Sleep 9 Hours | Screen Time 4 Hours,"","Gym by myself | Baja Blast | working on messages project for a couple hours straight | started Last Dance again | bored, so I played Uno with Mom and sister, hobbit longest game ever | stranger outside thought they were jacking the car then found out they were lost and smelling roses "
2021-07-02,Jul 2,Friday,10:18 PM,okay,work | family | friends | movie | gaming | home | texting Sophie | AudioBook | chest / core | prayer | Sleep 9 Hours | Screen Time 3 Hours,"","Grinding NBA 2k | tired at work | Red Robin with Mom and Dad | family movie night: Tomorrow War | texting Sophie about best year | mania mood? lots of energy/shaking"
2021-07-01,Jul 1,Thursday,10:31 PM,okay,family | friends | gaming | home | texting Sophie | Personal Project | biking | chest / core | gym | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Dentist | NBA 2k challenges with Cameron prevent points in paint one really hard | impulsive bike ride to Caitlin’s old house and feeling of emptiness | What is my purpose in Ventura? | Hobbit with Mom | conversation drying up a bit with Sophie | I want to go back to Marquette now "
2021-06-30,Jun 30,Wednesday,9:39 PM,okay,work | friends | gaming | home | texting Sophie | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 6 Hours,"","NBA 2k new spotlights | texting Sophie about sports | Mountain Dew sent me a Baja Flash | Suns finish Clippers | Father Mike videos"
2021-06-29,Jun 29,Tuesday,10:35 PM,okay,family | friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | ultimate frisbee | prayer | Sleep 8 hours | Screen Time 6 Hours,"","Walk with Mom | Frisbee by myself at park made video | laptop downstairs worked on messages project | Giannis got hurt | Fortnite with Cameron Zach and Jude"
2021-06-28,Jun 28,Monday,11:42 PM,okay,work | family | friends | gaming | home | texting Sophie | Blood Donation | chest / core | gym | prayer | mountain dew | Sleep 7 Hours | Screen Time 6 Hours,"","Blood donation | Livewire | weird mood threw frisbee by myself in dark | excess motivation | found way to get text and discord message data with help from Edward"
2021-06-27,Jun 27,Sunday,10:37 PM,good,friends | gaming | home | texting Sophie | ultimate frisbee | church | prayer | Sleep 8 hours | Screen Time 4 Hours,"","Priest last mass | IHOP with Jude | scored/ assisted 9 times | AJ popped off | Sophie is down for the FaceTime | talk with Raina about Kyan and Jude | Bucks win Middleton lookin like Curry | OW with Cameron got 4:20 objective time and 69 hook acc TWICE"
2021-06-26,Jun 26,Saturday,11:10 PM,Solid,work | friends | gaming | home | texting Sophie | Personal Project | chest / core | prayer | mountain dew | Sleep 8 hours | Screen Time 5 Hours,"","Dropped dew at Cameron’s house | stopped at Kwasts house to deliver dew, pet Koko and puppy, and talk to Caitlin | yelling really loud while playing Overwatch with Cameron | Suns vs Clips fouls making NBA unwatchable | fortnite with Jude,Cameron,Zach, and Sierra "
2021-06-25,Jun 25,Friday,10:03 PM,okay,work | gaming | tv show | home | Personal Project | chest / core | gym | prayer | Sleep 9 Hours | Screen Time 4 Hours,"","Irritated that Jude is wasting time getting ready for the gym | idea to FaceTime Sophie while cooking | Daylio monthly report finished"
2021-06-24,Jun 24,Thursday,9:38 PM,Solid,gaming | home | texting Sophie | Personal Project | biking | chest / core | gym | prayer | Sleep 8 hours | Screen Time 6 Hours,"","Grinded some 2k | made lots of progress on Daylio stream lit project | biked to park Saul missing spear meme | texted Sophie a lot today 🥺 | I really like this girl"
2021-06-23,Jun 23,Wednesday,10:33 PM,Solid,work | family | gaming | home | texting Sophie | chest / core | gym | prayer | Sleep > 9 | Sleep 9 Hours | Screen Time 5 Hours,"","Attractive girls at gym | outlets with Mom and sister was a good time made Mom laugh a lot | texting Sophie about Coldplay | for a moment I tricked myself into seeing a text as a flirt and imaged what being with her would be like"
2021-06-22,Jun 22,Tuesday,9:16 PM,Solid,gaming | home | texting Sophie | Personal Project | biking | chest / core | gym | Other Sports | prayer | mountain dew | Sleep 8 hours | Screen Time 7 Hours,"","Gym with Dad Katie and Jude | worked on Daylio project |listerine Mountain Dew video | Dad fixed bike tire took forever |biked to park and then prayed,swings, climbed tree, played basketball, and listened to Hobbit, Suns near buzzer against Clippers for win game 2, deeper convo with Sophie offered to help her | I really like Sophie but I’m really in the friend zone"
2021-06-21,Jun 21,Monday,10:45 PM,Solid,work | family | friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | Spiritual Direction | Sleep 9 Hours | Screen Time 3 Hours,"","Work went by fast | song recommendation feature | spiritual director talk about Caitlin and Sophie and how God is involved them | listening to Lord of the Rings | got invincible Luka"
2021-06-20,Jun 20,Sunday,10:17 PM,okay,family | friends | gaming | tv show | home | texting Sophie | church | prayer | Partial Dew | Sleep > 9 | Sleep 9 Hours | Screen Time 6 Hours,"","Mass finally inside, took Dad golfing for Father’s Day, tried Baja Flash"
2021-06-19,Jun 19,Saturday,9:59 PM,okay,work | friends | gaming | tv show | home | texting Sophie | biking | chest / core | gym | prayer | mountain dew | Screen Time 6 Hours,"","Sweated a lot after gym workout, grinding 2k got DM Lamelo, Bucks beat Nets in 7 Cameron high saying crazy stuff about Clippers, Sophie responded back we talked about the Great Divorce"
2021-06-18,Jun 18,Friday,10:53 PM,Solid,work | friends | gaming | home | Personal Project | chest / core | ultimate frisbee | gym | prayer | Screen Time 4 Hours,"","Finished the Great Divorce, worked in day care room during work, Ultimate frisbee had like 5 catches and dove for one, Clippers actually won"
2021-06-17,Jun 17,Thursday,10:40 PM,Solid,family | gaming | home | texting Sophie | chest / core | prayer | Screen Time 6 Hours,"","NBA 2k in morning and Scott Hahn interview, Katie’s promotion, lunch at waypoint café with family, met Shae there, highlight of day was listening to “The Great Divorce” "
2021-06-16,Jun 16,Wednesday,11:08 PM,Solid,work | friends | home | chest / core | gym | Other Sports | prayer | mountain dew | Screen Time 4 Hours,"","Hungry at work, rush to get everything ready for beach, Caitlin didn’t come to beach, played Volleyball,spike ball, frisbee at beach, Habbit, Baja, little mad a Kyan for not going to beach with Jude"
2021-06-15,Jun 15,Tuesday,11:13 PM,okay,work | family | friends | gaming | home | texting Sophie | Personal Project | chest / core | prayer | double dew | Screen Time 6 Hours,"","Cleaning kids area at work, picked up Katie from school, looked at 5 gas stations for new Baja’s, presents for Jude including cyclone, Major melon + DewSA, little mad at Kyan for not going to beach with Jude"
2021-06-14,Jun 14,Monday,11:17 PM,okay,work | friends | home | texting Sophie | Personal Project | chest / core | gym | prayer | Screen Time 4 Hours,"","Got first pay check, finished Paper Towns,Clipper game with Cameron, Lady preaching on street with questionable techniques, Sophie really exhausted from work"
2021-06-13,Jun 13,Sunday,12:05 AM,Solid,family | friends | movie | gaming | tv show | home | texting Sophie | ultimate frisbee | church | prayer | mountain dew | Screen Time 5 Hours,"","Almost late to church, ultimate frisbee frustrated with my team turning it over, pet Koko, in my heart of hearts I like Caitlin, movie theater watched Quiet Place 2, helped Caitlin with math hw"
2021-06-12,Jun 12,Saturday,10:54 PM,Solid,work | family | friends | gaming | home | texting Sophie | Personal Project | chest / core | prayer | mountain dew | Screen Time 3 Hours,"","Brought Jude a Dew at golfnstuff, circle K Voltage, spent lot of time talking to Mom and Dad, walk with Mom, I choose you stuck in head, Overwatch with Zach, talk with Katie at night she got new phone "
2021-06-11,Jun 11,Friday,11:27 PM,okay,work | family | friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | Screen Time 6 Hours,"","Cameron malding in Overwatch, Urban Café, sexual desire is up, watched 2 Hearts made me tear up, Jude working until 3 a.m"
2021-06-10,Jun 10,Thursday,10:35 PM,Solid,family | friends | gaming | tv show | home | texting Sophie | Personal Project | biking | chest / core | gym | prayer | mountain dew | Screen Time 4 Hours,"","Texting chain with Sophie still alive, picture/genre feature added to coding project, discord nitro, dming Caitlin + a vc, Dew S.A"
2021-06-09,Jun 9,Wednesday,11:50 PM,okay,work | family | friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | Sleep 7 Hours,"","In my head Caitlin vs Sophie, late night text convo with Sebastián "
2021-06-08,Jun 8,Tuesday,10:13 PM,okay,family | friends | movie | gaming | tv show | home | texting Sophie | Personal Project | biking | chest / core | gym | prayer | Partial Dew | Sleep 8 hours,"","Talk with both Sebastián and Gabriella, bad mood between the two phone calls need to be alone, feelings shifted more towards Sophie again, walk with Mom, Thor Ragnorak, music project has URL"
2021-06-07,Jun 7,Monday,10:56 PM,okay,work | family | friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew | Sleep > 9 | Screen Time 4 Hours,"","Jude signed up for gym membership, Sophie more talkative now, quotes from Jesus a Pilgrimage, Baja Blast brought one for Jude, walk with Mom, Baptismal candle and finished Chosen season 1"
2021-06-06,Jun 6,Sunday,10:00 PM,Solid,family | friends | gaming | tv show | home | texting Sophie | ultimate frisbee | church | prayer | Screen Time <= 2 hours,"","Homily about Eucharist being more meaningful because it was the last meal and had sentimental value, 4v4 ultimate frisbee, movie tickets sold out went to Frosty’s, chilling on the roof, worried about feelings again especially Caitlin"
2021-06-05,Jun 5,Saturday,11:07 PM,good,work | family | friends | gaming | tv show | home | texting Sophie | chest / core | prayer | Confession | mountain dew,"","1st time confession, MTD Sat on roof, kick start Berry Blitz, took Caitlin to confession could have been pivotal moment for her, working on separating friendly love with romantic, picture at Joeys house and Vons, picked up In-n-out, late night Overwatch"
2021-06-04,Jun 4,Friday,10:38 PM,okay,work | family | friends | gaming | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew,"","Set up talk with Gabriella, getting good reputation at work, trying to figuring out plans for Caitlin talking to priest, Mavs lost to Clippers game 6, good relations with Jude today, 2k xp grinding, Sophie had a bad day at work "
2021-06-03,Jun 3,Thursday,11:01 PM,okay,family | friends | gaming | tv show | home | texting Sophie | Personal Project | biking | chest / core | gym | prayer | mountain dew,"","Talk with Peter, vine shopping + gas, hard time with coding, not much texting with Sophie, playing Overwatch with the boys"
2021-06-02,Jun 2,Wednesday,10:16 PM,okay,work | family | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew,"","Data Meetup Meeting bust, first day at work, started listening to Jesus a Pilgrimage, Sophie’s influenced me to have more religion in my life, ultimate frisbee teams meeting, Mavericks beat Clippers in game 5 Cameron salty, Dew SA"
2021-06-01,Jun 1,Tuesday,9:54 PM,okay,family | friends | gaming | tv show | home | Personal Project | biking | chest / core | gym | prayer | Sleep > 9,"","Slept for long time, yearly report LastFm project, feel uneasy about Sophie situation, Suns pooped on Lakers, Dame vs Nuggets "
2021-05-31,May 31,Monday,9:53 PM,Solid,family | friends | gaming | walk with duns | tv show | home | texting Sophie | chest / core | gym | prayer | Sleep > 9,"","Call with Caitlin about confession, seeing God in Caitlin’s life, gym with Dad, having Jude around getting annoying, Mile 26 with Mom bright blue shoes, told Sophie I appreciate her, We’re Not Strangers gift idea for Sophie, spiritual life pretty good rn "
2021-05-30,May 30,Sunday,10:31 PM,meh,family | tv show | home | texting Sophie | Personal Project | church | prayer | mountain dew,"","Thought python broke because of infinite loop and it caused me to shut down, Sunday’s always a low day, prayer and walk in Africa, watched some of videos Sophie recommended, she’s such a good influence on me 🥺 I like her love of Theology, showed parents Last Fm project "
2021-05-29,May 29,Saturday,11:30 PM,good,friends | gaming | home | texting Sophie | chest / core | ultimate frisbee | gym | prayer | mountain dew,"","Overwatch gaming with the boys found old OW tournament video, ultimate frisbee with big group scored and assisted too many times to count 😂, Zachs house party: darts cornhole jackbox, worried about Kyan and Jude, talked to Caitlin about it, I’m finally filling the role I should have had for Caitlin, Baja Blast"
2021-05-28,May 28,Friday,10:29 PM,Solid,work | family | home | texting Sophie | Personal Project | chest / core | gym | prayer,"","Job training, dropped Katie off at food share, FaceTime with Sophie :D : aliens,video recommendations, food she’s not a picky eater, Cold Weather song"
2021-05-27,May 27,Thursday,11:27 PM,Solid,family | friends | gaming | home | texting Sophie | Personal Project | chest / core | ultimate frisbee | gym | prayer | mountain dew,"","Got the job at the gym, power out, went to get new frisbee, threw frisbee with Cam Jude and Dylan, frostbite"
2021-05-26,May 26,Wednesday,11:22 PM,okay,friends | gaming | tv show | home | texting Sophie | Personal Project | chest / core | gym | prayer | mountain dew,"","Walmart and Taco Bell Baja Colada Freeze,  almost not sick, car break light off had to fix it went to Auto Zone, Jude made the it’s good t-shirt, still working on last Fm project, rosary prayer by myself for first time "
2021-05-25,May 25,Tuesday,10:55 PM,okay,family | gaming | tv show | home | texting Sophie | Personal Project | chest / core | prayer,"","Streamlite Last Fm project, I have an interview for Kohls, walk with Mom, read Bible Philemon, Clips Mavs game 2 blacked out but was able to get in, Cameron salty"
2021-05-24,May 24,Monday,11:04 PM,okay,family | movie | tv show | home | texting Sophie | Personal Project | chest / core | prayer,"","Lost my voice, Religious talk with Caitlin might bring her to mass, gas at Costco super low on fuel, wrong number text girl hitting on me, worked on Last Fm project all day, sleeping sucks while sick"
2021-05-23,May 23,Sunday,10:09 PM,okay,family | friends | gaming | tv show | home | texting Sophie | church | prayer | mountain dew | Sleep < 7,"","Felt very sick previous night, quarantine set up, Last Fm project, Sophie convo about kids, mass online, OG Dew, Overwatch with the boys"
